Type,ProductId,Changes,,,Timestamp
l2update,BTC-USD,[['sell', '18211.60', '0.00000000']],2023-01-12T04:39:08.016610Z
l2update,BTC-USD,[['sell', '18210.93', '0.00000000']],2023-01-12T04:39:08.017361Z
l2update,BTC-USD,[['buy', '18209.19', '0.00000000']],2023-01-12T04:39:08.026999Z
l2update,BTC-USD,[['sell', '18210.91', '0.13799444']],2023-01-12T04:39:08.036166Z
l2update,BTC-USD,[['sell', '18210.92', '0.01000000']],2023-01-12T04:39:08.036236Z
l2update,BTC-USD,[['sell', '18210.91', '0.15799444']],2023-01-12T04:39:08.036424Z
l2update,BTC-USD,[['sell', '18210.91', '0.14799444']],2023-01-12T04:39:08.039175Z
l2update,BTC-USD,[['buy', '18210.04', '0.39160508']],2023-01-12T04:39:08.041227Z
l2update,BTC-USD,[['sell', '18210.91', '0.12799444']],2023-01-12T04:39:08.041851Z
l2update,BTC-USD,[['sell', '18210.92', '0.00000000']],2023-01-12T04:39:08.042293Z
l2update,BTC-USD,[['sell', '18211.54', '0.06745713']],2023-01-12T04:39:08.045008Z
l2update,BTC-USD,[['sell', '18211.25', '0.12745686']],2023-01-12T04:39:08.056080Z
l2update,BTC-USD,[['sell', '18210.96', '0.02000000']],2023-01-12T04:39:08.056135Z
l2update,BTC-USD,[['sell', '18210.96', '0.03000000']],2023-01-12T04:39:08.056264Z
l2update,BTC-USD,[['sell', '18228.32', '0.00000000']],2023-01-12T04:39:08.060529Z
l2update,BTC-USD,[['sell', '18210.96', '0.02000000']],2023-01-12T04:39:08.061766Z
l2update,BTC-USD,[['sell', '18210.96', '0.00000000']],2023-01-12T04:39:08.061901Z
l2update,BTC-USD,[['sell', '18210.90', '0.02000000']],2023-01-12T04:39:08.069271Z
l2update,BTC-USD,[['sell', '18210.90', '0.03000000']],2023-01-12T04:39:08.069325Z
l2update,BTC-USD,[['sell', '18210.90', '0.02000000']],2023-01-12T04:39:08.075654Z
l2update,BTC-USD,[['sell', '18210.89', '0.01000000']],2023-01-12T04:39:08.081622Z
l2update,BTC-USD,[['sell', '18228.32', '0.54650764']],2023-01-12T04:39:08.139577Z
l2update,BTC-USD,[['sell', '18211.51', '0.00000000']],2023-01-12T04:39:08.148382Z
l2update,BTC-USD,[['sell', '18211.57', '0.00000000']],2023-01-12T04:39:08.149894Z
l2update,BTC-USD,[['sell', '18211.59', '0.00000000']],2023-01-12T04:39:08.149894Z
l2update,BTC-USD,[['sell', '18211.55', '0.03234401']],2023-01-12T04:39:08.150688Z
l2update,BTC-USD,[['buy', '18209.19', '0.04921688']],2023-01-12T04:39:08.151344Z
l2update,BTC-USD,[['sell', '18211.89', '0.06140842']],2023-01-12T04:39:08.155347Z
l2update,BTC-USD,[['buy', '18210.04', '0.37416006']],2023-01-12T04:39:08.157209Z
l2update,BTC-USD,[['sell', '18210.05', '0.03330643']],2023-01-12T04:39:08.159229Z
l2update,BTC-USD,[['sell', '18210.05', '0.08031643']],2023-01-12T04:39:08.167571Z
l2update,BTC-USD,[['sell', '18210.05', '0.03330643']],2023-01-12T04:39:08.170315Z
l2update,BTC-USD,[['sell', '18211.18', '0.00000000']],2023-01-12T04:39:08.171628Z
l2update,BTC-USD,[['sell', '18210.89', '0.00000000']],2023-01-12T04:39:08.174520Z
l2update,BTC-USD,[['sell', '18211.18', '0.02745686']],2023-01-12T04:39:08.179615Z
l2update,BTC-USD,[['buy', '18209.20', '0.04000000']],2023-01-12T04:39:08.207284Z
l2update,BTC-USD,[['sell', '18210.90', '0.07000000']],2023-01-12T04:39:08.207427Z
l2update,BTC-USD,[['sell', '18210.91', '0.00000000']],2023-01-12T04:39:08.212041Z
l2update,BTC-USD,[['buy', '18197.41', '0.00000000']],2023-01-12T04:39:08.213871Z
